"","PLYBAK","mean.class","SE","df","asymp.LCL","asymp.UCL",".group"
"8","Dia_dia",1.40627226573742,0.235809781456602,Inf,0.944093586880223,1.86845094459462," 1   "
"9","Flo_mel",1.42120733077482,0.256723680249152,Inf,0.918038163507911,1.92437649804174," 1   "
"10","Pur_ton",1.42727439123977,0.327881607976469,Inf,0.784638248412807,2.06991053406673," 12  "
"3","Ano_wet",1.85004530018628,0.299681388618935,Inf,1.26268057165621,2.43741002871634," 12  "
"6","Den_ebr",2.0945750194062,0.307726056772143,Inf,1.49144303102828,2.69770700778413," 123 "
"2","Ano_dry",2.32608548629333,0.352350219326692,Inf,1.63549174646822,3.01667922611843," 123 "
"1","Pri_tae",2.63985895879711,0.354702189355899,Inf,1.94465544242205,3.33506247517218,"  234"
"7","Sci_bou",3.20782918812995,0.342685077446107,Inf,2.53617877829626,3.87947959796364,"   34"
"4","Cra_fitz",3.2294261794501,0.345318071642363,Inf,2.55261519582025,3.90623716307996,"   34"
"5","Eng_pus",3.72120274234002,0.341380972877178,Inf,3.05210833049351,4.39029715418653,"    4"
